__label__joy __label__surprise	million unique visitors per hour ? wow ! is this experts exchange or some ( other ) pr0n site ? 😉
__label__love	is there a way to pattern match in f # so that it will check to see if both elements in a two element tuples are equal . i 'm incredibly new to f # , and also new to the whole concept of pattern matching in general . i was thinking something along the lines of … but i guess that would be too easy hah . any suggestions ? or is there even a way to do that ? thanks for your help , you guys are incredibly helpful !
__label__love	excellent answer , upvote !
__label__love	upvote , excellent explanation !
__label__love	awesome sketch !
__label__love	perhaps this is what you are looking for : here is the link to download the castle windsor schema : good luck !
__label__love	really great article , thanks !
__label__love	the answer can be found in the . you should skim the excellent documentation that comes with perl
__label__love	i have been given a . hive file from a registry which i have to parse and use the contents as part of a html report ( from this i assume i have to convert to text somehow ) . the whole thing must be done within the program so i ca nt just convert the hive file and then run it through my program . i currently have no idea how to even start this so any help on this would be great . any ideas would be fantastic !
__label__love	so i need to get a quotient to decimal places like , but do i need to use doubles all the way down or can i use integers for everything except the quotient and then just use double or decimal for the quotient ? it is also breaking because of the quotient . if anyone could help me i would be extremely grateful 🙂
__label__love	congratulations on the new job ! relax and keep your cool . read something on . i guess , the process itself will make sure you are productive as long as you apply common sense 🙂
__label__love	i 'm building a little framework with node . js , and i would try to use data from an api but i do n't know why it does n't work ( asynchronous but ? ? ) . some advices could be very great ! by the way , i tried with xmlhttprequest too . thanks for your help !
__label__love	in my company , we are currently using qt and are very happy with it . i personnally never had to move a mfc - app into using the qt framework , but here is something which might be of some interest for you : it 's part of qt - solutions , so this means you 'll have to buy a qt license along with a qt - solutions license . ( edit : ) i hope this helps !
__label__love	you should n't worry about regular expression optimization . the call to os . system ( ' uptime ' ) you seem to use takes about times longer than the call to re . findall . http://hans.gerwitz.com/ / / /premature-optimization-is-the-root-of-all-evil.html
__label__love	has a good website intro to sql. if anyone wants a book , the first several chapters of book are an excellent intro . much better than the text book from my database class . if anyone wants to explore relational database concepts , seems to have a good intro . book is also very good on that subject .
__label__love	david flanagan 's excellent book on javascript has an example that shows how to perform xpath queries in ie . on page of fifth edition , you can see the following code snippet taken from example - : i found out the hard way that this code is absolutely necessary . it appears ( although i ca nt understand why ) that on ie xmlhttprequest seems to to randomly return a reference to either the document corresponding to the received xml or the documentelement . what s happening here ?
__label__love	my company has no current plans to move to vista , so we have n't tested compatability issues yet . doug hennig has an excellent article on the subject however : these links describe some issues as well :
__label__love	i need to develop a messenger - like text box , where certain tokens are being replaced with ui controls . just for example , if the user types 🙂 it should be replaced with a smiley image . i have previous experience with wpf 's richtextbox and i understand the concept of textpointer and textcontent . i just do n't know how to replace a textrange with a ui control … would extremely appreciate your help 🙂 ! gili
__label__love	am a beginner in using ember i am working on a template for my site and when i put the template code in a handlebar it 's not working but if i remove it form the handlebar it works , meaning i have linked the correct js and css files needed . am posting the index . html and app . js please assistance would be great 🙂 🙂 index . html app . js github is here for the file … thanks loads shei
__label__love	i have an application that is being built using qt. it will be running on machines that will have two ( or more ) network cards . i need the ability for my application to select which ethernet interfaces for a tcp connection . before anyone suggests it i can not guarenteed that routing tables will be setup correctly . i know how to do this using the windows socket classes but have been unable to find anything about it for qt. any help would be greatly appreciated !
__label__love	great question , wondering it myself !
__label__love	you should really check out this plugin : i have been using it for about sites and it 's really great ! since the latest update it 's posible to export your custom fields to a php file which you can include your functions . php
__label__love	i have never parsed ini files , so i ca n't be too specific on this issue . but i have one advice : do n't reinvent the wheel as long as an existing one meets your requirements good luck 🙂
__label__love	excellent , thank you !
__label__love	i am running applications on my windows server that run on java in the bottom right hand corner , java wants me to update . is this going to update to java , or do these auto-updates only put out non breaking patches and my system will still be java any insight would be great ! thanks .
__label__love	i made a template in my wiki called template:quote , which contains the following content : then i can use the template in a page , e.g. , {{ quote | a little test }} works pretty well - thanks !
__label__love	is free , scriptable , supports passive mode and is definitely excellent .
__label__love	it was very helpful 🙂
__label__love	excellent ! that makes life considerably easier . i really did n't want to add another layer to the application if i could avoid it . as far as stackoverflow etiquette goes , if i set this question as answered , nikos wo n't get the rep for it as the answer is in the comments . what 's the protocol ?
__label__love	there is reference information available on the msdn website . if you want more of an introduction or tutorial , then charles petzold 's book is excellent .
__label__love	this is my gridview this is in my code behind inside my page load … now as you will see i have a imagefield inside my gridview . when the id = then i want to show the image located here ~ / pics / id1 / myimage . jpg and so on and so on . i also want to show a thumbnail of the image so the user do nt have to download the whole image . any help will be great ! etienne
__label__love	we are now years after migrating to tfs. just upgraded to . the team absolutely love it and ca n't even think about the old svn days !
__label__love	got it - i should have tried harder before replying . i had to keep track of the current row number and only switch the value on new rows . revised code : called like this : thank you again for your excellent response & answer !
__label__love	excellent , thanks ! that looks like an elegant solution .
__label__love	i 'm reading an excellent article by paul white - ! and he uses this code : i 'm trying to find out more about using dbo . name to declare a variable , not having much luck with books online . any ideas where i can find this ? thanks
__label__love	hey , i 'm new to this site . i think it is great ! okay , here 's the deal . i just downloaded smule ocarina . i was wondering how they made it so you can upload a song to the cloud . i might have an app idea that might incorporate this . how would i do this ? what would i need ?
__label__love	the named scopes already proposed are pretty fine . the clasic way to do it would be :
__label__love	@kevin oh , excellent ! i see now that it 's a fairly obvious answer , but that tool is perfect . thanks !
__label__love	upvote that looks like an excellent resource !
__label__love	upvote for this question - i have the same issue .
__label__love	excellent , thanks !
__label__love	why are you so afraid of an asynchronous solution ? would n't this by definition need to be on a separate thread ? remember this is a tcp connection , so you do essentially have to wait for a response before you can send your request .
__label__love	@leon tayson : excellent answer ! ! ! thanks loads …
__label__love	thanks all , that was really interesting 🙂
__label__love __label__anger	upvote or anything but sun 's time classes . those are horrible !
__label__anger	i hate writing migrations , but it 's important for the schemas to stay in sync. what i 'd much rather do is update my and have rails notice , then run something which generates the appropriate migration based on the difference between the old version and the current version . is there a way i can do that ?
__label__anger	coreplot : candle stick , how to set more distance between every stick when zoom in and zoom out ? when i try to zoom out , it looks really terrible . how can i fix it ?
__label__anger	this is a problem with windows firewall that is very annoying from its introduction . and persist trough several versions of windows . i have two questions : is it possible to be disabled or at least require confirmation in xp / server ? does uac handles this in vista / server ? if it does not - is there any way to disable it ?
__label__anger	i built an xml - rpc server in python using simplexmlrpcserver , according to the example in the python documentation . i 'm calling it from a python client on the same machine . the body of the server function executes very fast on its own . but i find that xmlrpc client performance is excruciatingly slow , taking one second per call . ( using xmlrpclib . ) a speed - up technique i found on the web ( ) did n't help . my connect uri is : i 'm running python x64 on windows , but it works the same for - bit python .
__label__anger	lately , bringing the help window from visual studio is taking a long time . even updating the help system takes an awful long time . is there something broken with my installation ?
__label__anger	oh , this was was a pain ! i probably lost hours on this . here is the solution : cmake uses short ' c ' applications to test / try things . if the cmakelists . txt states that c ++ is used for the project , without also listing c , then some of those shorts tests incorrectly fail , and cmake then thinks those things are n't found . the solution was to change the first line of cmakelists from this : ... to include c as a language : then delete , recreate it , and everything then works :
__label__anger	so , the following hack seems to work , but it 's really incredibly ugly imo , as it relies on you controlling the line - height and using absolute positioning . worse , it requires you to know how many lines there are in your text , which depends on the width of the div and the font - size , and probably requires js to compute . anyway , after all the above disclaimers , here 's the hack : use two divs with the same text , one on top of the other . one justified , one centered . then clip the justified one . html css fiddle . of course , the above code is hard - coded for the specific width . again , you 'll probably need js in order to compute the number of lines in the div. i 'm pretty sure that until this gets implemented in webkit you probably wo n't find an elegant solution for your problem .
__label__anger	vineet , what you are trying to do is a terrible idea ! if you ever find yourself having to engineer something as fundamental as that , take a step back and work out what else does it ! i do n't really believe in the whole spoon fed so thing , but what mtwebster says is on the right track !
__label__anger	how do i stop a browser refresh from happening when a flash object has focus inside a pop up window ? yes , i abhor pop up windows too . yet we have a flash questionnaire that is being wrecked from users who use refresh . i also already have js in place that effectively blocks refresh , until the flash gets focus and the user presses refresh . i have access to the flash through our flash developer , but he is uncertain of how to do this . the closest we could come up with was to use the fscommand trapallkeys , yet it does not appear to be working .
__label__anger	that 's a really terrible way to read in all your files . try this : this will return a list of data frames , each of which is the contents of the corresponding file . or , if there are other csv files that you do n't want to read in , you can restrict the specification : and to combine everything into one big data frame :
__label__anger	reinnstalled xcode4 - same thing . awful !
__label__anger	doubles are n't compared that way in real life …
__label__anger	ps really hate the response limits on comments .
__label__anger	@donquestion yep . my account is domain admin so it should be ok … really annoying problem ! arg
__label__anger	your solution is subject to all sorts of horrible html escaping issues and possibly injection attacks .
__label__anger	i 've noticed this lag time also . its really annoying when you go to / usr / bin to tell firefox what app to use to open a file and it lags for seconds .
__label__anger	the answer with a guid is completely ridiculous ( no sense at all ) the console hwnd is of course given by getconsolewindow ( ) (!)
__label__anger	i get the following when i build locally i get this error when building locally or on the team foundation server . not exactly sure how to solve it , have the iis app pool and web site running as the tfs user so it does n't have any problem viewing the website but the error is really irritating as its always telling me my build is broken .
__label__anger	in vb . net you can , with the keyword ( i believe ) . but what you 're trying to do seems really horrible . just set them explicitly . it 's almost exactly the same amount of code .
__label__anger	i know i can configure command line arguments in the run configuration but i want to run a java file multiple times with different command line arguments . it 's a pain to change the run configuration every time . is there a way i can make eclipse prompt me for command line arguments every time i run the program ?
__label__anger	this was annoyingly annoying … if you have a the need to export your regexbuddy history you can take a look at , which prints to the console your history , also as json .
__label__anger	yes , lily , but * why * ? it sound exactly what someone who develops a malicious piece of software would ask .
__label__anger	i am getting very strange flickering on a wpf application of mine . it only happens with alpha blended content , only on my computer , and only with wpf applications . at least i have n't noticed it with anything else . it 's really annoying ! has anyone else dealt with this weirdness ?
__label__anger	did you ever figure this out ? i 've had to post a dupe because i ca nt : http://stackoverflow.com/questions/ /flexbuilder-web-services-list-empty
__label__anger	the problem is exact what mysql is telling you : you have too much data for one table . not only the number of fields are counting towards them , but also their size … but the real problem is in your database design , you have designed a table that is crying out for help : ' split me up , split me up ! ' you should your design ..
__label__anger	i want to bulkload my cassandra data from node a to node b. when i set the ' listen_address ' of each cassandra . yaml file to localhost , they do not show error on console but the data is never transmitted . when i set each node 's listen address to their own local network [ eth1 ipv4 ] address ( … ) , i get the following error . i can read from this error log that the application is trying to access to port .. and i do not have no idea what on earth is going on . each node is on the virtual machine on the virtual box hypervisor . both os is centos . here is my cassandra . yaml ( the cassandra . yaml of target file is also configured the same way ) thrift_max_message_length_in_mb : can anybody give me advice ? i am really suffering as hell .
__label__anger	you have two divs , one over the other , and the one on top is transparent . however , when you scroll you want the div on the bottom to hide as it goes under the first transparent div. you do n't want the second div 's to change to as soon as it goes under the first div. you just want the part that is under to be hidden . i 've googled extensively for an answer : # - answer make the div on top or . the problem with this for me is my background is a photograph , i.e. as you scroll down what you see is different , as opposed to a colour or a pattern . the " background " of the transparent div needs to change as the real background changes . # offers a solution to this using jquery however there are horrible , horrible issues with scroll lag in browsers not firefox . folks , how do i do it ?
__label__anger	nobody ? to do this with a button is really disgusting .
__label__anger	i 'm trying to compile code that i know to be working on other peoples ' machines but is throwing a particular error on my system . specifically the error relates to the printf ( ) method the method printf ( string , object []) in the type printstream is not applicable for the arguments ( string , double ) for instance does anyone know why this error is cropping up ? there are alternatives to using printf ( ) , but this is very annoying !
__label__anger	@ravenspoint : if you want to create the object on the heap now and delete it after execution in an other thread , i should probably remind you of raii - > very bad programming style ! ! ! or do you want to make some silly synchronisation to ensure the data is still valid , when being read by the new thread ?
__label__anger	i 'm trying to create some ads in admob , but on last step i always get error : but it did n't specify where . i swear god , there are no errors on whole page , all fields are correctly filled , i see no red shapes around fields , everything match criterias written under fields , but i stil get this error - without any explanation . has anybody same experiences ? it 's totally frustrating ☹️
__label__anger	visual studio crashes as soon as i open aspx or ascx view from mvc project . if i delete all bin and obj folders from projects , i can open aspx and ascx view page . but it crashes again after compiling . it started to crash after i moved strong typed model to different project . i got stuck and can not go further , really frustrated ! i 'm using visual staudio sp1 . mvc , window xp sp3 . . net sp1 . anyone can help ?
__label__anger	flexmonkey may be more of a pain than it is worth . gorrilla logic claims it works with custom components but i have found this is not the case . anything with a renderer seems to have serious problems . it is a lot harder to set up tests than they claim and the tests are n't stable . i have written tests for one component times now using hardcoded ids . sometimes it just ca n't see the component and it dies . they only have short paragraphs explaining tests in their user guide and they only respond to questions about how to set it up on their google group . i would avoid using this .
__label__anger	come on , you are worrying about efficiency while your first line of code is incorrect !
__label__anger	i really hate jquery , your code looks as if you are looking forward to publishing your project finalized with jquery .. anyhow … if your looking to replace the jquery selector $ ( "" ) with a function you should know that the function requires that it returns a dom element . otherwise an error will be flagged and java script with abort .
__label__anger	ergh , this optionbuilder has a horrible interface !
__label__anger	nope - gave up and went for a completely non-ruby solution .
__label__anger	imo it is painful to debug as you tend to have no intermediary variables for inspection .
__label__anger	for someone who uses the ctrl - w bindings in vim habitually , it is incredibly annoying to have chrome os ask me , " wan na close this window , then ? " how do i remap keys in chrome os ? ca n't find this top secret setting anywhere .
__label__anger	i ca n't believe that answer from a company . horrible !
__label__anger	i use with ( ) i want to have the option to choose the months and years . i define this : but i really hate the dropdowns of . i want to have the option to choose the months and years as in it is possible ? ?
__label__anger	@mario i disagree , while the answer is outrageously awful , it 's still an answer .
__label__anger	everything in the terminal buffer . command history is easy , just ' history ' . sometimes there 's an exception or a log i want to grab , but it went off the screen or select - all is a pain . i want to make a cmd line tool that does it and maybe sends it to a new gist .
__label__anger	there 's an error here : $ r3 only has one result column ( which you have n't given a name ) . are you sure you are using the correct variable because there 's no way that your code should work as you have posted it . also your variable naming is really awful . use meaningful names instead of , , etc …
__label__anger	i recently worked on a product that was targeted to . net . out of hundreds of beta testers , i can probably count on one hand the number that already had . net . the rest had to sit through the absolutely painful . net install from microsoft ( ~ minutes , and most of the time the progress bar stays near so people think it is broken ) .
__label__anger	so i have also ran into this problem . i have found a solution ( it 's terrible , be warned ! ) open unity and load your solution in monodevelop ( older version you can set the target framework more easily ) navigate to your project directory and open " assembly - csharp - vs " in notepad . change the line " targetframeworkversion " v3. to " targetframeworkversion " v4. you will have to do these steps every time you load unity ( blah ) but it does work .
__label__anger	@joranbeasley you 're right for the new format though … and i totally hate it ☹️
__label__anger	the answer does not establish the same 's as adding directly to the ajax call . so in order for jquery to do this properly i add this : where is a global variable . unfortunately , i have to write this extra line on every single ajax call . terrible ! maybe i 'll edit the jquery framework to handle this …
__label__anger	i am experiencing exactly this problem ( and am in exactly the same world of pain ) : whereby i am offering an update to sql using linqtosql and it is failing with a because is set to . due to legacy databases also on the server i am targeting , i am not able to re-configure the default connection settings as is quite rightly stated in the accepted answer in . my question is : how do you convince linqtosql to run a sql before executing an update ?
__label__anger	( really awful title . ) anyway : can i somehow make scala infer the type of in 2nd line ? this works as expected after adding the type : and is certainly the expected type :
__label__anger	do n't use it . i hate std::pair exactly for this reason . you never know which is which , and since access to first and second are public you ca n't enforce contracts either . but after all , it 's a matter of taste .
__label__anger	no you ca n't . that awful thing does n't work in managed mode or mixed mode .
__label__anger	yuck , i really hate that option . but option is the way to do it . upvote for option .
__label__anger	what is that downvote ? it 's real and valid question , and i hate drm too !
__label__anger	tools - > options - > projects & solutions - > build and run " on run , when projects are out of date : " select " always build " that 's it , had it myself , extremely annoying .
__label__anger	instead of loading everything which is neither possible nor really desirable i would use a sliding window instead - when you reach a certain maximum list size ( say i.e. items ) you automatically remove the top items when you add the next items to the bottom . if you scroll just right after the update this should n't even be noticeable by your users .
__label__anger	c is a cruel master !
__label__anger	do n't want to beat a dead horse , but it is really important that you understand that this is a terrible idea .
__label__anger	i really despise swfobject for this very reason . maybe you could give a try
__label__anger	you should be able to add the attribute during onprerender ( ) . inamingcontainer is so painful sometimes …
__label__anger	unless there is a very valid reason , passwords should hashed . hashes result in fixed length strings . there is not space argument to make , unless the system is storing the actual password , which is arguably a terrible idea .
__label__anger	this is a disgustingly horrible hack , but it might get the job done :
__label__anger	@anyone who uses assembla - is it 200mb per project or 200mb per account ? if it 's per account , then that 's awfully small .
__label__anger	i 've searched this and can not find it . i 've tried different plugins and different browsers ( firefox , opera , and chrome ) . i 've tried most of the no flash plugins for each of those as well as disabling flash plugins / addons in the settings . i also renamed the file in i found by searching the system . when i renamed it , makes firefox and chrome ask to install flash , but still : returns : i 'm not sure what else to try without uninstalling flash , but that will be a total pain in the ass for this . i also really do n't want to use swfobject just to see if flash is at all installed which i can do simply with : any ideas ?
__label__anger	no , it is extremely bad idea .
__label__anger	i really hate to answer my own question but i found the problem and the report is opening as of right now . i only came across this by chance but it seemed to work . i changed the setting of display on sharepoint site to do not display . i never noticed that option before so i gave it a try . sharepoint is on the laptop which i did n't know at the time and i know nothing about it , but at least it shows on the screen now .
__label__anger	to push it to heroku , you 'll have to add it to your repo . why do n't you want to commit it ? it 's recommended to commit gemfile . lock in your repo ( unless you 're developing a gem ) : when developing an app , check in your gemfile . lock , since you will use the bundler tool across all machines , and the precision enforced by bundler is extremely desirable for applications .
__label__anger	every time i download the zip file it is corrupted !
__label__sadness	( lack of line breaks in comments is saddening ! )
__label__sadness	i just got through this exact problem . what a pain ! if you are running a - bit jvm on a - bit windows , make sure that you set the execution policy for the - bit powershell interface . i found my bit executable here : the - and - bit powershell environments are completely distinct so setting the execution policy in one has no effect on the other .
__label__sadness	some more depressing news here : http://kb.adobe.com/selfservice/viewcontent.do ? externalid = tn_14213
__label__sadness	does it make sense to start learning javafx if i do not have any background in ui programming ? is it more advisable to learn swing first and then move on to javafx ? i tried the on javafx website in netbeans and the code looked extremely complicated to me . i am wondering if javafx is too advanced for a beginnner gui developer .
__label__sadness	i 'm very sad now ☹️
__label__sadness	eruby is an external executable , while erb is a library within ruby . you would use the former if you wanted independent processing of your template files ( e.g. quick - and - dirty php replacement ) , and the latter if you needed to process them within the context of some other ruby script . it is more common to use erb simply because it is more flexible , but i 'll admit that i have been guilty of dabbling in eruby to execute files for quick little utility websites .
__label__sadness	you 're looking for an equivalent of and i 'm afraid it does n't exist explicitely in the stl. go for sebastien 's answer if it is correct for your stl implementation .
__label__sadness	this is a method in java , that ( when k == ) in int [ ] arr has one of k - combination int [ ] intems . in variable iloczyn is calculated product of elements in this combination . in tmp is calculated sum of all such products . unfortunately , system.out.println ( tmp ) shows , that when function ends , tmp equals . this is very sad , because i need this variable for next calculations . what shoud i do ?
__label__sadness	this probably sounds really stupid but i have noo idea how to implement jquery 's rounded corners ( ) . my javascript - fu is complete fail and i ca n't seem to get it to work on my page . can anyone show me a simple example of the html and javascript you would use to get them to show ? apologies for my idiocy .
__label__sadness	i know that ilist is the interface and list is the concrete type but i still do n't know when to use each one . what i 'm doing now is if i do n't need the sort or findall methods i use the interface . am i right ? is there a better way to decide when to use the interface or the concrete type ?
__label__sadness	might be an answer , but i 'm afraid i ca n't speak from experience .
__label__sadness	that 's sad :-( i do n't need it for debugging , i need it for other purpose .
__label__sadness	ohh , well this is sad ! i found the error and it unfortunately just was a typographical error …
__label__sadness	would one be violating the the terms of agreement with google app engine if one were to use amazon 's s3 service with google app engine ? i do know there is restrictions on what you can and ca n't do but i was not sure of this . having these two combined features , one could provide one heck of a system at a relatively low cost compared to hosting this with a hosting company . has anyone done this already or have heard of an application that combines the two technologies ?
__label__sadness	that is really sad ☹️
__label__sadness	that 's just a character requirement with an optional character afterwards : the parentheses may not be required - i 'm not enough of a regex guru to know offhand , i 'm afraid . if anyone wants to edit it , do feel free …
__label__sadness __label__fear	that what i was afraid of ! cause my knowledge about ajax is zero ☹️
__label__love __label__surprise	wow ! this question is more than a year old ! thanks for the answer , however i have resolved the issue ! upvote for the well documented answer .
__label__anger __label__sadness	indeed , i hate it ! but sadly no , i could not find an alternative … sorry ☹️
__label__love __label__joy	+ for this 🙂 you made my day ! ! when writing the question i was not sure if it was related to " brook 's mythicalman month " and skipped it . here i go ... and it 's persisted for eternity on stackoverflow 🙂 i am really " rofl " that stackoverflow can answer questions like this !
__label__love __label__joy	excellent ! glad that sorted it
