__label__sadness __label__fear	have not make a difference i be afraid ☹️
__label__love	the perl library be excellent for do the donkey work of interact with a website to get to the actual page you need .
__label__love	hey guy . i tell my wife all option that you give and she go for " as require " , say it sound more formal to her , and although unspecified match the scenario too , she do not like how it look on the agreement . could not mark your answer as prefer since you put it as a comment ceejayoz . but , really thank you all for the very quick answer and take the time to help !
__label__love	upvote excellent ! i be search it for hour …
__label__love	i be work on an opensource app that use subsonic i need to regenerate some of the code so i need the tool that do that . i can not find this version of the code generator executable . any help would be greatly appreciate !
__label__love	that would be awesome . i could report % success rate on all e-mail ! 🙂
__label__love	i have a long scrolling page , and want to test if an element be 0px from the top , then apply a class elsewhere ( until the next element in line be 0px from the top ) if i could just get the basic statement i would be ecstatic , anything extra would be a bonus !
__label__love	i would recommend -- it 's an excellent cms with great build - in translation .
__label__love	i be look to create my own gesture for my ipad app . i know this can be do but do not know where to start . i read that there be some sample code that can store your custom gesture so you can re use them . think it be as ajson i be look to draw number as custom gesture but any sample code / tutorial where i can get an idea where to start i would be very great full ! thanks ahead .
__label__love	be probably not what you want , but be still really excellent .
__label__love	great , excellent link . thanks for the help !
__label__love	i find some class that a very great man develop ! ! ! that solove this : here be a link to download it it the last post on the page : direct link :
__label__love	excellent , superb , charm 🙂 thank you !
__label__love	( great question ! )
__label__love	@levi excellent answer ! ! you save my day ! ! ! i forget that req and r handle only #crd# connection , so i do nt try to call r . end ( ) . thank you very much !
__label__love	how can i use the bliss view engine instead of the usual jade engine in express js. i already find #crd# article here at stackoverflow , but this seem to be for the old version of express . js . i be use the .x version . in particular i would like to know how i can install bliss and follow to this . how do i make a project in express . j , with a different view engine then jade ? currently i use this command in my project folder : thanks in advance !
__label__love	i have a small wpf application that host a richtextbox : as show the code snippet above , i set the font size to . if i copy text from this richtextbox to microsoft word or microsoft wordpad , the font size be report to be . similar oddity persist if i paste text from word or wordpad . i have verify that the text be select from my app be sized at . any help would be greatly appreciate !
__label__love	the question just come to me from a different team . the question be " how to query the user in the exchange server 's particular user group " . its say that the exchange server user group be not link to an ad group . the example i could get be all for query base on ad group . i hear there be #crd# way either through sql or through directoryservices . either solution be fine , but through directoryservices will be super awesome ! thanks again !
__label__love	i would say yes , it be anders heljsberg 's intent to make the observer pattern a #ord# - class language feature with event in c # , base on his experience with delphi . anders make this and other design intention clear in an excellent interview on .
__label__love	excellent ! it work , thank you very much .
__label__love	excellent , thanks to both of you !
__label__love	the sollution suggest over here be perfect : i register a broadcastlistener on all activity that should be remove from the backstack and when i reach the main menu , i just send the broadcast and all receiver call finish ( ) . this work really great !
__label__love	upvote : i just use implement this , it work great !
__label__love	i come across this and really like their gallery , not sure if the script be in-house or come from some free / commercial script out there ? thanks
__label__love	numpy be awesome 😛
__label__love	upvote for intellij . worth every penny .
__label__love	i be use some modification to glenn berry 's excellent dmv query ! however , i would like to add to the resultset the ' last server restart ' , or to be more specific , the date / time the statistic for ( all , the specific ) dmv be reset . since it would be quite important to know last reset when look at the statistic , i want to make absolutely sure the date / time be accurate and show . question : how can you get the most accurate date / time of when a / all dmv statistic be reset ? thanks ! - d
__label__love	very nice ! upvote
__label__love	excellent recipe !
__label__love	excellent , thanks !
__label__love	i have a new responsive site i be build and the site 's header render just great in all browser except internet explorer . this puzzle me because i think ie0 be more standard compliant . if i put ie0 in ie0 compatibility mode , it again render fine . any insight would be extremely helpful ! i be really stump and perhaps it 's an easy fix . site address : ie screenshot : chris h.
__label__love	excellent 🙂 you should add that yourself as an answer and then accept it . it may be useful for other in the future .
__label__love	i want to have a base class which implement some ' conf ' interface , then have a class that derive from base class but have its own version of conf class ( derive from ' baseconf ' ) . at the end i would like to have a method with signature baseproc ( of ibaseconf ) be it possible to write it like that or should i change it completely ? the code look like this : any help will be really appreciate :) thanks !
__label__love	i be new to develop web application use the . net framework . i be just wonder if . net have any support for save a custom int value for each ( log in ) user ? could i perhaps use the httpcontext . user property or something ? i would be really grateful for some help on this ! / ylva
__label__love	i would like to know how i can draw a step route in . i have try all possible option but it do not seem to work . i be currently use the code below as i would with the normal drawroute function : any help would be extremely appreciate !
__label__love	great ! absolutely wonderful ! thank you very much !
__label__love	i have a gridview with row that can be edit , insert etc. i wrap it in an updatepanel to give it an ajax effect and update the system without reload the page . i recently get into use jquery and webservices for my ajax call and i absolutely love how it work and how fast it be . i would like to know if it be possible , and if so then how , to update my gridview use jquery ajax method .
__label__love	i be build a marketplace application that use paypal express . i have get a form for seller to input their paypal api credential , but i need a way to validate them by make some sort of call to paypal . i be use the paypalexpressgateway in activemerchant , and i do not see anything other than the standard purchase control . be there any sort of null - operation that can be use ? any help would be greatly appreciate !
__label__love	i absolutely love this tip !
__label__love	drama - free and practical . .
__label__love	@philipoakley excellent suggestion ! i have not use ` cherry - pick ` before but that work quite well . if you post as an answer i will accept .
__label__love	excellent , exactly what i need !
__label__love	i need to do a strange task . i want to move whole android system to external sd card on android virtual device . i need to do this , because android emulator , emulate sd command , only for external card image . and i want to get sd command trace , during android virtual device usage . to be more precise : i want to move at least / system and / datum folder to external storage . in such way , that system could still work fine 🙂 thank you !
__label__love	on my site the fb connect login button suddenly become unclickable , i have no idea what i do ( top right ) if anyone have any idea that would be excellent !
__label__love	thanks ! both you and jim be very helpful !
__label__love	i know its possible to accept a list of object as a parameter but what about a list of guid from checkboxes ? this be a bit different as the only name you get have to be the id . any help would be greatly appreciate , thanks !
__label__love	mark b - excellent - work perfectly ! thanx again 🙂
__label__love	wow , excellent thanks for go to the effort to measure the performance ! upvote
__label__love	yes , i have just instal binutils and it 's look very awesome ! ! ! i be go to check it out ! bb with more info
__label__love	we use xceed 's datagrid ( pro version .. but free version be excellent ) more extensively than probably anybody . it have the flexibility to handle more thing than the other grid … in my opinion of course . try them all , there be limitation to each .
__label__love	excellent ! cheer dude
__label__love	this be amazing….i have no idea you could control ui element without even need to mess with the ui … you be a hero 🙂 thank you ! ! ! ! ! ! ! ! ! ! !
__label__love	i have a javascript document . write function that return a textarea value to a field like so : now , i need the output of what be return from the document . write part to be in bbcode output , so if the value fetch from the document . write function be [b] hello [ / b ] , it return " hello " not [b] hello [ / b ] . any help would be extremely appreciate !
__label__love	@chucklukowski wow , that 's just about exactly what i be look for ! i will be give that a read - thru . much appreciate .
__label__love	" software developer be always optimist -- just look at their estimate skils ! " - love it ! !
__label__love	i see … that 's really great ! thanks !
__label__love	excellent answer
__label__love	check out it do the " this be not a functional app " napkin view very well and be easy to use . have a full feature you can try out online and as an add bonus you can email your xml to your client and they can tweak it and play with it and email it back to you without have to have a license .
__label__love	i agree : awesome answer ! thank you so much for this borad overview ( even if it may be a little bit outdated by now ) .
__label__love	excellent ! it work like this : [ code ] extern " c " {
__label__love	while auto layout be a really great thing ! and apple really help a lot of developer with it , but in my case the solution be to handle it manually by create #crd# storyboard 🙂 but i would like to recommend auto layout to all developer 🙂
__label__love	excellent answer ! bonus mark for humour !
__label__love	great ! #crd# solution ( from sykora , leonard and fgm ) that make this map work . i like the #crd# from fgm for its brevity
__label__love	thanks for that - i figure that be probably the good solution . very good answer too !
__label__love	that 's terrific , thank you !
__label__love	get ta love stackoverflow !
__label__love	background : the msmq be host on windows . the queue that will receive the message be a public queue . i have instal msmq http support on the server . from some of the white paper on msdn , it appear that you can insert message into msmq use soap / xml. the process , however , of just find the wsdl endpoint be not clear to me . any help you could offer would be greatly appreciate ! wish you the good !
__label__love	craig shoemaker have make an excellent show on asp . net caching :
__label__love	there 's a sample at the always excellent " cocoa with love " site :
__label__love	it 's not a place , but i have find by charles petzold excellent . it cover everything you ask about and be focus specifically on wpf / silverlight . of course petzold ( as usual ) be able to communicate the important concept beautifully .
__label__love	there 's for a sort that should work , but just be not include in the core . reference from , i think you just pass in a function that be use to sort , like so hope it help !
__label__love	wow excellent ! thanks so much rgeorge , that really help .
__label__love	in my winforms app ( c #) i have a circle ( define by a ) that i be presently fill with a solid color . i would like to fill this with a circular ( not linear ) gradient ( so #crd# color in the center fade to another color uniformly around the edge ) . i have experiment with , but be have no luck ( i still see a solid color ) . if anyone have any sample code that do this , that would be terrific !
__label__love	i ended up use , which meet all my need and be ( imo ) very excellent .
__label__love	daniel moth have a pretty good blog post about how to do this here : good of all it be simple and free !
__label__love	upvote for #crd# assertion per test
__label__love	excellent ! cheer dude
__label__love	love the keyboard geek part !
__label__love	i love it when i find the answer to my question without have to ask - thanks for run into the same question i have and help me work through my issue !
__label__love	i be wonder how boxcar work , anybody know ? i know how to do the push notification from server to iphone , but i have no clue of how to create the server to get the @reply and dm from twitter in real time . any suggestion on what i should look into to create the server ? should i use twitter 's stream api or user stream api ? any sample code , in php preferably , will be great 🙂 thanks !
__label__love	that thing be really really awesome !
__label__love	i want to know what be good start point to work on create own gui on iphone / objective - c. i have never do this part before , and i know i be kinda attract to make my own slick gui , something like convertbot , which i really love 🙂 any suggestion would be appreciate ! thanks
__label__love	mono appear to have really come a log way since the last time i really use it . i be interested in do some asp . net development use mono . i have use . nettiers / codesmith at work and really enjoy the speed with which code generation give you a clean working datum access layer . the question be have anybody use any code generation with mono ? i be open to learn something like subsonic or nhibernate if those work well with mono . thanks in advance for any help .
__label__love	heroku be an excellent ( free ) option : also , deploy to heroku be as easy as it get !
__label__love	i really like kate , and since it 's a kpart , other kde program use it as the editor , so it 's goodness everywhere ! ( why be everybody else assume you use window ? )
__label__love	excellent solution be in subclass uitextview add line it 's work !
__label__love	thanks greg , that look to be an excellent document to read , i be print it now .
__label__love	i have image inside a folder call pic … #hlink# and #hlink# . what code must i place inside my submit button to just delete #hlink# locate here " ~ / pic / #hlink# " any help would be great ! ! !
__label__love	@gui junkie , i will keep you informed .
__label__love	a list apart be a great site , i recommend it heavily ! i have also use this article in the past : #hlink#
__label__joy	i find the answer ! it appear to be an issue with send to the development device token . like most people , we have a database that store the device token , and the early record be populate with our device token from testing . as soon as i net out those device token from my list , all work ! i really hope someone find this useful !
__label__joy	i do not think that it be possible to compare a shelve version with a local version in visual studio , however i will be very happily correct on the matter .
__label__joy	you can use this hope this help !
__label__joy	since i be also look for a way to use the empty word epsilon i come up with the follow approach . i simply use an empty production rule such as : hope it work - at least for now it seem so .. addendum : it work pretty fine 🙂
__label__joy	take a look at this , and rejoice ! 🙂
__label__joy	review the msdn doc for the function list , i see that the function check with the smbios table , which be reference by a standard it appear that you indeed can find the information you seek through the bio . you may have to install a driver to get that information out to your program . good luck !
__label__joy	if you would like to switch to different network operator - the answer be no , you be not able to do that programmatically . there be no api that support that . if you want to switch to different wireless network the answer be yes , read post . if you would like to check for different kind of connectivity state - look . good luck , hope this help !
__label__joy	it would be a good practice to have a separate button that will disable method since it be very easy to get confused when use your program if the code for disable and enable this method be all write in #crd# method name so i suggest you separate them to make the program 's design more precise . next thing you can do be to execute a , whic you be go to mark as . after have do this you can use . here 's how : be warn that it 's sometimes dangerous to throw exception as it create some other bug , but this option wo not hurt much if you be just try to disable a function . by the way , this will really not remove the method as it will just replace it , it 's now up to you to choose which method will receive this . hope this be helpful !
__label__joy	get some help from . here be my java class : i use for the base0 encoding . here 's my c # class : i really hope this help someone else !
__label__joy	i have use very successfully ( with a tweakette here or there ! )
__label__joy	rofl ! upvoted for the hilarious title ! 😃
__label__joy	i can not help , but good luck ! what a great game that be . will this be a commercial release ?
__label__joy	in my winforms app ( c #) i have a circle ( define by a ) that i be presently fill with a solid color . i would like to fill this with a circular ( not linear ) gradient ( so #crd# color in the center fade to another color uniformly around the edge ) . i have experiment with , but be have no luck ( i still see a solid color ) . if anyone have any sample code that do this , that would be terrific !
__label__joy	here be an answer to a similar question : it 's a complex workaround , but look work pretty fine !
__label__joy	press ctrl + c and keep on processng ctrl. query be kill for me … 🙂 ubuntu
__label__joy	just use rotateflip : as @dan - o have point out , this allow a rotation of any of the degree 's in the enum . to rotate a bitmap any angle without lose the size , you could do the follow , but it 's a bit convoluted ! #crd# - add the library to your project #crd# - add the xaml , windowsbase and presentationcore library to your project #crd# - use the follow to rotate your bitmap any amount of degree : pain in the ass , but work !
__label__joy	you may be look for a solution similar to josh smith 's "" . in his article , he present the follow : and then use the multi-value converter as follow : hope this help !
__label__joy	great description of all the answer !
__label__joy	if it would not have be a programming question , the answer of your title would be priceless 🙂
__label__joy	very excited for my #ord# post on so ! i would like to create an animation like in xcode i be not have much luck with what cabasicanimation have to offer . feel like i may need #crd# of those fancy physics engine … (?) how would #crd# properly begin do this ? thanks !
__label__joy	what you can do here be hide the button that push the view that only instructor can see , if the user be log in is of type student . in the view that have the button that push the view that only instructor can use do this:in the . h file create a property for the button that push the view like so : in the . m file:in the viewwillappear method of the view do the follow check : this way , when the view load , the button that push the instructor view will only be accessible to the user of type " instructor " .hope it help !
__label__joy	sweet 🙂 happy hacking !
__label__joy	@joe yes , if i be to declare the property and synthesize it as above , but i do not explicitly declare an ivar myself , the compiler will still actually create the ivar . so i could do ` int len = [ self . stringproperty length ] ` as you would expect inside the class , and i can also do ` int len = [ stringproperty length ] ` as well , without use the accessor method , just directly use the ivar ( which the compiler have synthesize for me , along with setter + getter ) . it 's really fantastic !
__label__joy	actually , i have just fix it . fiddle with colorbox and get it work . i be run it in a function every time the image change , which do not seem to work with the previous lightbox plugin but do with this #crd# . hurray !
__label__joy	i be wonder if its possible to join together ienumerable 's . basically i have a bunch of user and need to get their content from the database so i can search and page through it . i be use linq to sql , my code at the moment it : i hope that make some sense ! matt
__label__joy	excellent ! it work !
__label__joy	great work in find that bug report ticket ! i be able to see the issue in the [ fiddle ] ( #hlink# that they provided . notice also that the bug have be fix ! all you need to do be use a jquery - ui > = version . i fork their fiddle and try it with and the issue go away . check it out [ here ] ( #hlink# @user0 : the fix that i demonstrate in the previous
__label__joy	@ecu - excellent 🙂 i add an answer so future googlers can find the answer a bit easy , it seem comment be not look at nearly as often when scan for the reason .
__label__joy	to expand on my comment , if you do not already see then benefit of relative positioning then i will assume you be a begginer . here be a useful video to help you re-design you page : also , this be useful for compare when each positioning method be well use : and finally a general website that will be extremely useful for you in the near future may be !
__label__joy	@jonathan : i do not think it 's the only sane way to do it 😛 . great answer though !
__label__joy	find this on gamasutra a while ago : hope it help !
__label__joy	everytime i restart my computer another ethernet adapter local area connection be create . i have try to search the web for other people have same issue , but without luck . hope you guy can help me out , it would be extremely helpfull !
__label__anger	i be try to do this in a makefile and it fail horribly : do you know why ? i guess it have to do with escape , but what and where ?
__label__anger	solution find . it 's a known bug at microsoft since may , and they have still not release a patch . have to use the workaround suggest there . what a pain !
__label__anger	get the ssrs add - in to install properly be a complete pain . i think it have to do with the fact that we do development on the server prior to instal the ssrs add - in. i ended up un-joining the farm , re-joining it , then instal the component . that get it to work . then i just have to re-deploy solution , re-activate feature and re-configure my web . config .
__label__anger	all the formatting template in eclipse will put the plus on the next row ( which i find really annoying ) , so you can simply apply the code formatter and the plus will end up on the next row .
__label__anger	why do so many people not understand the importance of permanent url ? ? even adobe , sell product to build web application , regularly fail at this !
__label__anger	i use neo0j tool to start neo0j in window , but a strange thing be , today , when i open the neo0j shell , i start it , but no response , the status be in yellow and never turn to green , it can not establish neo0j server . it be so terrible for my database ! ! ! ! do anyone meet this ?
__label__anger	if you be concerned about code re-ordering you be either create some funky and hard to understand and maintain code , or else you probably do not need to worry about it . can you explain why you think the code snippet you supply will be reorder ?
__label__anger	you should never , ever use . it get really really slow as the size of table grow . instead you should . in case you have irrational fear of learning , here be there solution which would do what you ask for :
__label__anger	believe me without an ide you just waste your time and it be a real pain ! if you feel that visual studio be expensive you can try the or go for or
__label__anger	ternary get _ extremely _ ugly if you be use more than #crd# else statement , i would not recommend it at all , let alone in this situation .
__label__anger	i be try to output the follow from within a liquid template : obviously , liquid see this as a variable name and try to do substitution . i be try to find out how i can output the actual brace . so far , i have find #crd# method that work , but it 's incredibly ugly : yeah , tell you it be gross . here be other thing i have try : any advice here ?
__label__anger	i have an android app that look absolutely horrible if the user set their font size to large or extra large ( via setting - > display - > font size in ice cream sandwich ) . it just plain be not design for variable font size , and it make a lot of the text unreadable . i have see application that preserve the font size for most view , so i know that there have to be a way to do this . be there a simple way for me to tell the application to ignore the user 's font size preference ? and if there be not , how would you suggest that i go about calculate the font size ? if nothing else , be there a way for me to retrieve the user 's font size preference ?
__label__anger	ok , here 's #crd# way of do this , but it 's terrible ! i be still look for an easy way :
__label__anger	this be not worthy of an " answer " , but i think i would mention : many of the interface i have really enjoy have be minimalistic -- there 's almost nothing for me to see . like quicksilver for os x.
__label__anger	( for the record , i find the infragistics winforms control to be considerably easy than their asp . net control . i think a lot of their bad rep come from the asp . net side of the world , where certain task become a major pain and their viewstate usage be off the chart . )
__label__anger	i do not want to do anything fancy on twitter except post to it via my site once a day . i have search around a bit and there be all sort of super-complex way to do every little thing that twitter do , but there seem to be little documentation on how to do the simple thing , which be make a post ! do anyone know how to do this ? or can you at least point me in the right direction ? i do not need full wrapper or anything ( ) , just #crd# simple function that will post to twitter . thanks !
__label__anger	currently make a java program that grab datum off of a msaccess database and some of these error be extremely frustrating . i keep get this sql . exception : too few parameter . expect error on the last remain bug in this program . little background on the db : it have table ( a player table ( column ) , a team table ( column ) , and an opponent table ( column ) . these be both of the function and i be fairly certain the problem lie in here somewhere or this function
__label__anger	i be nearly reach rage mode ! can anyone help me with this ? ? i set a limit on a codeigniter model so i can only that set of result . why be it not work ? the record be display correctly on function call , but i be get more than how it 's suppose to
__label__anger	i will #ord# the ni measurement studio . i have plot point / sec with ni measurement studio 's chart control . also , this test be do on a laptop with a very lousy video card . afaik , measurement studio be use opengl internally .
__label__anger	i see microsoft be still at it with their horrible magic version control stuff …
__label__anger	somewhat new to oop ( i.e. c programmer convert to c ++ ) and can not figure out why my datum member in my backpack class be empty . i make pass an array of potion to my backpack , yet the datum member be say mtype = "" ( i.e. nothing ) . i have never feel this lose in a program before . start to hate oop ( i.e. kidding….but this extremely frustrating ) . main . cpp potion . cpp backpack . cpp
__label__anger	be not an , it 's a basic type . you can only add nsobject - derive object to an nsarray . the exc_bad_access be probably because , under the cover , it 's try to access an object store at wherever your int be point to . in other word , it 's use your int as a pointer to an nsobject and fail horribly when it do so .
__label__anger	i be run into extremely frustrating problem with boost . when i try run something as simple as i get back : why be this error occur , and how do i make boost . lambda do what i need ? ( yes , i be aware i can use boost . phoenix et al. too , but that 's not the point of the question . )
__label__anger	i be try to change a bit - map 's pixel color if it 's white . i write follow code . but it 's awfully slow ! . i want to check if a pixel 's color be white or not , and if it be white , change the color to black . can anybody suggest a good approach ?
__label__anger	@augustss : with ` impredicativetypes ` you can make monadic bind polymorphic as well ( though it require a heck lot of extremely ugly type annotation ) .
__label__anger	get a spite downvote , it 's still a valid question .
__label__anger	for c # visual studio use space by default , whereas for c ++ it be hard - tab . why be it so ? why be it different ? my project consist of both c # and c ++ code and the difference really annoy me . i want to set a common standard for all the source , but i wonder if this would have any drawback .
__label__anger	i know it 's just example code , but i really hope your ` manager ` and ` staff ` class name be not really low - case !
__label__anger	it 's a very painful process to ajax ` file ` to a server side script . you might try : #hlink#
__label__anger	anti-javascript snobbery ! every language use a separate platform on some level to parse and execute the code . javascript be just another language , capable of write " program " or " script " .
__label__anger	that be a terrible article , it start out right , fisher - yates / knuth shuffle , then go horribly wrong by try to randomly order use guid as a source of randomness . do not waste your time and just read the wikipedia article on fisher - yates or use a library that implement shuffle correctly .
__label__anger	absolutely terrible ! ! ! it be not dependecy injection
__label__anger	so im use a simple submit bind to pass a function datum : i just start work with ko so i be to write a basic print function to test this input out : my problem be when i hit submit i get a " you enter : undefined " but when i refresh the page the input that be in the form get an alert . this be very frustrating ! idk if this be a knockout problem or a simple html #crd# .
__label__anger	stylereports be #crd# of the most heinous toolsuites i have ever have to use .
__label__anger	oh , man , i be sorry but i must say it : your code be really awful … it be not organize at all , but maybe … should not be instead ? edit : try to comment the #ord# and #ord# query , since they seem useless , and make the " cur " - > " cursor " change i suggest :
__label__anger	that 's clever , but the performance must be horrible . not that i be say there 's a good answer , just shudder at the o ( n^ ) of it .
__label__anger	i be intend on use the title attribute in the @page directive to customise each page title , but it simply do not appear to do anything . the site use master page - i do not know if that be a consideration . master page snippet : page snippet ( from ) : what be more , if i run the page through the , it complain about … end tag for " head " which be not finish .. whereas the the tag be present in the source code . i have already get a workaround in place , but it 's annoy the hell out of me , so i be determined to find a resolution !
__label__anger	nothing . regex be something i have to learn . javascript … i hate it !
__label__anger	i have do some easy . hover ( function ( ) statement in jquery . when i hover over a text i simply want a # div . fadein , and on non-hover fadeout . it work . but it 's just if i spam the text - trigger with hover and un-hoverring really quickly and then stop the animation begin to give a blink effect . it just kind of loop , really annoying !
__label__anger	i have a custom uitableviewcontroller class that be share among a few viewcontrollers of my app . i would like to do pre-emptive fetching before the user have hit the bottom of the page . however , i notice that if the user scroll up and then down again , my vc will trigger another fetching . so i come up with a flag isfetching which check to prevent double fetching . unfortunately i be run asynchronous code and i need a way to reset this flag after my fetch operation have complete . feedvc : delegate : i find it very painful to pass around a finish bloc in order to flip a boolean . do anyone have a good recommendation ?
__label__anger	just let ie0 flicker . i do not think it 's worth it to invest time in a die browser when your base functionality work well enough . if you be worried about flicker for accessibility reason , just sniff for ie0 and replace the animation with a generic show ( ) and hide ( ) instead . i recommend avoid complicated code for edge case that do not matter .
__label__anger	they sure do not @michaelszyndel . it 's extremely frustrating . i be use the late ver , too . i really would like to get it work properly .
__label__anger	yup , wcf be a world of config pain , stick to asmx
__label__anger	extremely lousy solution .
__label__anger	the question on how to check input for validity be answer numerous time ! you just check whether the stream be in a good state . if not , you will reset the stream and ignore the character . search for question where this answer . also , do not use exception for non-exceptional case and * always * throw something derive from ` std::exception ` : once you have try to locate where an exception come from which be not derive from ` std::exception ` in a program with a few #crd# line of code you will find it extremely helpful to look at what ` what ( ) ` return !
__label__anger	there 's always the poor man 's alternative of just load a bajillion individual frame as . gif / jpg / png and have javascript display them in sequence . it would be absolutely horrible for bandwidth and memory usage , and of course no audio , but it would ( somewhat ) simulate video be play . of course , on windows platform , you could use activex and / or embed medium player and play avi / wmv file as well , without ever touch flash .
__label__anger	im maintain a site where i need to ' click ' a link with javascript . the href be inline javascript , not a url so i can nt just navigate to that url instead . im expect this be bad practice ( the rest of the site be terrible ! ) but i need to make the link ' click ' with javascript . im use jquery . i know this question have be ask before but it seem normally people be try to follow the link , which i be not .
__label__anger	ironically year later , i be wonder why in the world i want to do this . i hate app that do this .
__label__anger	upvote i be think of program this myself . i really hate switch between my headphone and hdmi output .
__label__anger	holy thread abuse , batman !
__label__anger	i have to do this once in note for a plugin i be develop . what i ended up do be edit the note template in the designer , and then write some lotusscript behind it that call a . net class via a dll. so when you click the button , it trigger the event in the lotusscript , and then call the dll , and pass the item information to it . i should also note that it be a freakin ' bear to figure out because note documentation be terrible .
__label__anger	in python 's the follow minimal work example below draw correctly to the screen , and to the . in the result however , the edge line be still draw . how can i fix this ? png result pdf result while it seem trivial , it become extremely problematic when you stack plot , all you see be an ugly mess of black !
__label__anger	currently the msbuild log for team build be appalling as they be just plain text and be very difficult to read . also the #crd# create by my build be approx 0mb and take quite a while to download ( our tfs server be in our datacentre ) . do anyone know any way of be able to view these log easy , prefereably integrate with either tfs itself or tfs webaccess ?
__label__anger	part of the reason why this be " dog slow " be that you be build the proxy every time you connect to the service . you could avoid this pain by use wsdl0ruby to build the proxy permanently and then call the pre-generated proxy .
__label__anger	you could achieve all this with reflection but it would lead to a really horrible code . you would well access individual member of the view model :
__label__anger	no i get error say undefined , the swf code load the other page such as back button etc. it very frustrating tear my hair out !
__label__anger	this be extremely ugly c - style code , easy to get wrong . while the bug in your code have be fix by early bird , here be the c ++ way to do this :
